date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:21:37	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5ba0f5717b300%22	http://vzestup.webpark.cz/robots.txt		(from )
10:21:37	8449/8449	---M--	200	added ('OK')	text/html	etag:%226014676c-2101%22	http://vzestup.webpark.cz/	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/index.html	(from )
10:21:38	1614/1614	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%225ff3c971-64e%22	http://vzestup.webpark.cz/vzestup_portal.ico	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/vzestup_portal.ico	(from http://vzestup.webpark.cz/)
10:21:39	4234/4234	---M--	200	added ('OK')	image/jpeg	etag:%225ff3c971-108a%22	http://vzestup.webpark.cz/violetmarble.jpg	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/violetmarble.jpg	(from http://vzestup.webpark.cz/)
10:21:40	4592/4592	---M--	200	added ('OK')	text/html	etag:%226014676c-11f0%22	http://vzestup.webpark.cz/f_plamen/index_fp.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/f_plamen/index_fp.html	(from http://vzestup.webpark.cz/)
10:21:41	5031/5031	---M--	200	added ('OK')	image/jpeg	etag:%225ff3c971-13a7%22	http://vzestup.webpark.cz/violetfire.jpg	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/violetfire.jpg	(from http://vzestup.webpark.cz/)
10:21:42	3022/3022	---M--	200	added ('OK')	text/html	etag:%226014676c-bce%22	http://vzestup.webpark.cz/uvod.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/uvod.html	(from http://vzestup.webpark.cz/)
10:21:43	4589/4589	---M--	200	added ('OK')	image/jpeg	etag:%225ff3c971-11ed%22	http://vzestup.webpark.cz/portal.jpg	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/portal.jpg	(from http://vzestup.webpark.cz/)
10:21:44	10141/10141	---M--	200	added ('OK')	text/html	etag:%226014676c-279d%22	http://vzestup.webpark.cz/karen/index_vz.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/index_vz.html	(from http://vzestup.webpark.cz/)
10:21:45	4684/4684	---M--	200	added ('OK')	image/jpeg	etag:%225ff3c971-124c%22	http://vzestup.webpark.cz/threecircle.jpg	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/threecircle.jpg	(from http://vzestup.webpark.cz/)
10:21:50	414676/414676	---M--	200	added ('OK')	text/html	etag:%226014676d-653d4%22	http://vzestup.webpark.cz/katka/kkniha.htm	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/katka/kkniha.html	(from http://vzestup.webpark.cz/)
10:21:50	7004/7004	---M--	200	added ('OK')	image/jpeg	etag:%225ff3c971-1b5c%22	http://vzestup.webpark.cz/kkniha_1s.jpg	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/kkniha_1s.jpg	(from http://vzestup.webpark.cz/)
10:21:52	4696/4696	---M--	200	added ('OK')	image/jpeg	etag:%225ff3c971-1258%22	http://vzestup.webpark.cz/hsobal.jpg	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/hsobal.jpg	(from http://vzestup.webpark.cz/)
10:21:54	14266/14266	---M--	200	added ('OK')	text/html	etag:%226014676c-37ba%22	http://vzestup.webpark.cz/moudra/index_m.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/moudra/index_m.html	(from http://vzestup.webpark.cz/)
10:21:56	5101/5101	---M--	200	added ('OK')	image/jpeg	etag:%225ff3c971-13ed%22	http://vzestup.webpark.cz/gautama.jpg	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/gautama.jpg	(from http://vzestup.webpark.cz/)
10:21:56	18802/18802	---M--	200	added ('OK')	text/html	etag:%226014676c-4972%22	http://vzestup.webpark.cz/rc/index_rc.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/rc/index_rc.html	(from http://vzestup.webpark.cz/)
10:21:58	5083/5083	---M--	200	added ('OK')	image/jpeg	etag:%225ff3c971-13db%22	http://vzestup.webpark.cz/prst.jpg	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/prst.jpg	(from http://vzestup.webpark.cz/)
10:22:00	26780/26780	---M--	200	added ('OK')	text/html	etag:%226014676c-689c%22	http://vzestup.webpark.cz/zpravy.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/zpravy.html	(from http://vzestup.webpark.cz/)
10:22:04	7141/7141	---M--	200	added ('OK')	image/jpeg	etag:%225ff3c971-1be5%22	http://vzestup.webpark.cz/armand1.jpg	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/armand1.jpg	(from http://vzestup.webpark.cz/)
10:22:04	33933/33933	---M--	200	added ('OK')	text/html	etag:%226014676c-848d%22	http://vzestup.webpark.cz/asea/index_asea.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/asea/index_asea.html	(from http://vzestup.webpark.cz/)
10:22:06	25269/25269	---M--	200	added ('OK')	image/gif	etag:%225ff3c971-62b5%22	http://vzestup.webpark.cz/bell2.gif	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/bell2.gif	(from http://vzestup.webpark.cz/)
10:22:08	13848/13848	---M--	200	added ('OK')	text/html	etag:%226014676d-3618%22	http://vzestup.webpark.cz/wm/index_wm.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/wm/index_wm.html	(from http://vzestup.webpark.cz/)
10:22:10	22151/22151	---M--	200	added ('OK')	image/jpeg	etag:%225ff3c971-5687%22	http://vzestup.webpark.cz/asea/asea.jpg	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/asea/asea.jpg	(from http://vzestup.webpark.cz/)
10:22:12	8084/8084	---M--	200	added ('OK')	image/jpeg	etag:%225ff3c977-1f94%22	http://vzestup.webpark.cz/wm/masthd1.jpg	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/wm/masthd1.jpg	(from http://vzestup.webpark.cz/)
10:22:12	4404/4404	---M--	200	added ('OK')	text/html	etag:%226014676c-1134%22	http://vzestup.webpark.cz/index_lx.htm	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/index_lx.html	(from http://vzestup.webpark.cz/)
10:22:14	9527/9527	---M--	200	added ('OK')	image/gif	etag:%225ff3c971-2537%22	http://vzestup.webpark.cz/zvonek.gif	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/zvonek.gif	(from http://vzestup.webpark.cz/)
10:22:44	560387/560387	---M--	200	added ('OK')	application/pdf	etag:%226014676c-88d03%22	http://vzestup.webpark.cz/katka/horskystit.pdf	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/katka/horskystit.pdf	(from http://vzestup.webpark.cz/)
10:23:29	326/326	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2012%20Apr%202025%2008:23:29%20GMT	http://www.clocklink.com/embed.js	/Users/yose/Desktop/Vzestup/Vzestup/www.clocklink.com/embed.1a.delayed	(from http://vzestup.webpark.cz/)
10:23:31	1463/1463	---M--	200	added ('OK')	text/javascript	etag:%223601bf-5b7-56a877cd9ec79%22	https://www.clocklink.com//embed.js	/Users/yose/Desktop/Vzestup/Vzestup/www.clocklink.com/embed.js	(from http://vzestup.webpark.cz/)
10:23:31	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5ba0f5717b300%22	http://vzestup.webpark.cz/world001-blue.swf	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/world001-blue.1c.delayed	(from http://vzestup.webpark.cz/)
10:23:32	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5ba0f5717b300%22	http://vzestup.webpark.cz/LunarPhases/LunarPhases.class	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/LunarPhases/LunarPhases.class	(from http://vzestup.webpark.cz/)
10:23:33	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://www.toplist.cz/count.asp?id=31112	/Users/yose/Desktop/Vzestup/Vzestup/www.toplist.cz/count.1e7e31.delayed	(from http://vzestup.webpark.cz/)
10:23:34	2581/2581	---M--	200	added ('OK')	image/gif	etag:%225ff3c971-a15%22	http://vzestup.webpark.cz/stesticko.gif	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/stesticko.gif	(from http://vzestup.webpark.cz/)
10:23:35	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5ba0f5717b300%22	http://vzestup.webpark.cz/f_plamen/index_soubory/filelist.xml	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/f_plamen/index_soubory/filelist.xml	(from http://vzestup.webpark.cz/f_plamen/index_fp.html)
10:23:36	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5ba0f5717b300%22	http://vzestup.webpark.cz/f_plamen/index_soubory/editdata.mso	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/f_plamen/index_soubory/editdata.mso	(from http://vzestup.webpark.cz/f_plamen/index_fp.html)
10:23:37	9378/9378	---M--	200	added ('OK')	image/jpeg	etag:%225ff3c971-24a2%22	http://vzestup.webpark.cz/f_plamen/vfworld.jpg	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/f_plamen/vfworld.jpg	(from http://vzestup.webpark.cz/f_plamen/index_fp.html)
10:23:38	13033/13033	---M--	200	added ('OK')	text/html	etag:%226014676c-32e9%22	http://vzestup.webpark.cz/f_plamen/violetflame.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/f_plamen/violetflame.html	(from http://vzestup.webpark.cz/f_plamen/index_fp.html)
10:23:40	19706/19706	---M--	200	added ('OK')	text/html	etag:%226014676c-4cfa%22	http://vzestup.webpark.cz/f_plamen/nine_steps.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/f_plamen/nine_steps.html	(from http://vzestup.webpark.cz/f_plamen/index_fp.html)
10:23:41	15579/15579	---M--	200	added ('OK')	text/html	etag:%226014676c-3cdb%22	http://vzestup.webpark.cz/f_plamen/decrees.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/f_plamen/decrees.html	(from http://vzestup.webpark.cz/f_plamen/index_fp.html)
10:23:41	8449/8449	---M--	200	added ('OK')	text/html	etag:%226014676c-2101%22	http://vzestup.webpark.cz/index.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/index-2.html	(from http://vzestup.webpark.cz/f_plamen/index_fp.html)
10:23:42	3977/3977	---M--	200	added ('OK')	image/jpeg	etag:%225ff3c972-f89%22	http://vzestup.webpark.cz/karen/welcome.symbol.jpg	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/welcome.symbol.jpg	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:23:43	9388/9388	---M--	200	added ('OK')	text/html	etag:%226014676c-24ac%22	http://vzestup.webpark.cz/karen/ca_ucel.htm	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/ca_ucel.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:23:44	6303/6303	---M--	200	added ('OK')	text/html	etag:%226014676c-189f%22	http://vzestup.webpark.cz/karen/ca_what.htm	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/ca_what.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:23:45	18639/18639	---M--	200	added ('OK')	text/html	etag:%226014676c-48cf%22	http://vzestup.webpark.cz/karen/wishints.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/wishints.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:23:47	13526/13526	---M--	200	added ('OK')	text/html	etag:%226014676c-34d6%22	http://vzestup.webpark.cz/karen/wishints2.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/wishints2.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:23:49	30422/30422	---M--	200	added ('OK')	application/pdf	etag:%226014676c-76d6%22	http://vzestup.webpark.cz/karen/9_intent.pdf	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/9_intent.pdf	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:23:49	201/201	---M--	200	added ('OK')	image/gif	etag:%22c9-5b81da4807e40%22	http://vzestup.webpark.cz/heart2.gif	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/heart2.gif	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:23:49	11461/11461	---M--	200	added ('OK')	text/html	etag:%226014676c-2cc5%22	http://vzestup.webpark.cz/karen/wisoverview.html	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/wisoverview.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:23:50	43862/43862	---M--	200	added ('OK')	text/html	etag:%226014676c-ab56%22	http://vzestup.webpark.cz/karen/ca_krist.htm	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/ca_krist.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
10:23:52	55775/55775	---M--	200	added ('OK')	text/html	etag:%226014676c-d9df%22	http://vzestup.webpark.cz/karen/ca_egypt.htm	/Users/yose/Desktop/Vzestup/Vzestup/vzestup.webpark.cz/karen/ca_egypt.html	(from http://vzestup.webpark.cz/karen/index_vz.html)
